# t state avail_kb free_kb zram_orig_kb zram_ram_kb rss_kb vmswap_kb SigIgn SigCgt pgrp found game alive
0 none 44744 41132 4 4 0 0 - - - found=- game=none alive=y
1 D 38504 15592 4 4 20948 0 0000000000002206 0000000180004000 220 found=1441 game=none alive=y
2 R 22396 1344 4 4 41860 0 0000000000003206 0000000180004000 220 found=1441 game=none alive=y
3 R 20456 1468 4 4 42780 0 0000000000003206 0000000180004000 220 found=1441 game=none alive=y
4 R 20184 1300 388 436 42792 0 0000000000003206 0000000180004000 220 found=1441 game=none alive=y
5 R 20284 1756 928 700 42136 524 0000000000003206 0000000180004000 220 found=1441 game=none alive=y
6 R 19712 1408 1424 920 42284 1020 0000000000003206 0000000180004000 220 found=1441 game=none alive=y
7 S 20388 1616 2524 1288 41480 2164 0000000000003206 0000000180004000 220 found=1441 game=none alive=y
8 none 44808 25144 544 528 0 0 - - - found=- game=none alive=y
9 none 44828 25144 544 528 0 0 - - - found=- game=none alive=y
10 none 44796 25156 544 528 0 0 - - - found=- game=none alive=y
11 none 44800 25116 544 528 0 0 - - - found=- game=none alive=y
12 none 44800 25132 544 528 0 0 - - - found=- game=none alive=y
13 none 44812 25136 544 528 0 0 - - - found=- game=none alive=y
14 none 44820 25144 544 528 0 0 - - - found=- game=none alive=y
15 none 44828 25132 544 528 0 0 - - - found=- game=none alive=y
16 none 44800 25144 544 528 0 0 - - - found=- game=none alive=y
17 none 44812 25132 544 528 0 0 - - - found=- game=none alive=y
18 none 44816 25144 544 528 0 0 - - - found=- game=none alive=y
19 none 44816 25132 544 528 0 0 - - - found=- game=none alive=y
20 none 44800 25144 544 528 0 0 - - - found=- game=none alive=y
21 none 44828 25132 544 528 0 0 - - - found=- game=none alive=y
22 none 44812 25144 544 528 0 0 - - - found=- game=none alive=y
23 none 44812 25116 544 528 0 0 - - - found=- game=none alive=y
24 none 44800 25116 544 528 0 0 - - - found=- game=none alive=y
25 none 44828 25132 544 528 0 0 - - - found=- game=none alive=y
26 none 44800 25148 544 528 0 0 - - - found=- game=none alive=y
27 none 44820 25132 544 528 0 0 - - - found=- game=none alive=y
28 none 44808 25136 544 528 0 0 - - - found=- game=none alive=y
29 none 44816 25132 544 528 0 0 - - - found=- game=none alive=y
30 none 44820 25144 544 528 0 0 - - - found=- game=none alive=y
31 none 44828 25132 544 528 0 0 - - - found=- game=none alive=y
32 none 44812 25132 544 528 0 0 - - - found=- game=none alive=y
33 none 44812 25136 544 528 0 0 - - - found=- game=none alive=y
34 none 44812 25116 544 528 0 0 - - - found=- game=none alive=y
35 none 44816 25132 544 528 0 0 - - - found=- game=none alive=y
36 none 44788 25144 544 528 0 0 - - - found=- game=none alive=y
37 none 44800 25132 544 528 0 0 - - - found=- game=none alive=y
38 none 44736 23952 276 384 0 0 - - - found=- game=none alive=y
39 none 44708 22564 276 384 0 0 - - - found=- game=none alive=y
